video_id,url,title,channel_name,published_at,view_count,persons_found,total_persons
u_9ISZbriTo,https://youtu.be/u_9ISZbriTo,Anthony Mackie vs. Danny Ramirez | Hot Ones Versus,First We Feast,2025-02-25T18:00:53Z,578817,Harrison Ford,1
afZXztPZFV4,https://youtu.be/afZXztPZFV4,Rob McElhenney Needs to Walk It Out While Eating Spicy Wings | Hot Ones,First We Feast,2025-02-20T16:00:04Z,1939867,Ryan Reynolds,1
yjOEaix2Pdo,https://youtu.be/yjOEaix2Pdo,Lady Gaga ATE Hot Ones UP 💅,First We Feast,2025-02-18T18:00:50Z,136772,Lady Gaga,1
q1Pnlkacoio,https://youtu.be/q1Pnlkacoio,Lady Gaga wrote 'Born This Way' in only 10 MINUTES 🤯,First We Feast,2025-02-16T22:00:29Z,651658,Lady Gaga,1
dhIafZpI7Jw,https://youtu.be/dhIafZpI7Jw,Lady Gaga's reaction to every wing on Hot Ones ❤️‍🔥,First We Feast,2025-02-14T18:00:37Z,518090,Lady Gaga,1
r-1jpKWu2bw,https://youtu.be/r-1jpKWu2bw,"Lady Gaga thinks her Hot Ones performance ""isn't entertaining"" 😂",First We Feast,2025-02-13T17:01:03Z,218223,Lady Gaga,1
zp5TYOxtZqY,https://youtu.be/zp5TYOxtZqY,Lady Gaga Tries to Keep a Poker Face While Eating Spicy Wings | Hot Ones,First We Feast,2025-02-13T16:01:08Z,5143624,Lady Gaga,1
dvL3KvYMpLo,https://youtu.be/dvL3KvYMpLo,Get ready for Lady Gaga on Hot Ones 🎉🎉,First We Feast,2025-02-12T20:00:29Z,632490,Lady Gaga,1
XtYRMCvbs3o,https://youtu.be/XtYRMCvbs3o,Questlove Refuses Defeat While Eating Spicy Wings | Hot Ones,First We Feast,2025-02-06T16:00:25Z,1266353,Jimmy Fallon,1
S8vrPcRMKdM,https://youtu.be/S8vrPcRMKdM,Ryan Fitzpatrick goes for Tom Brady's THROAT 🏈😂,First We Feast,2024-11-26T17:00:33Z,120647,Tom Brady,1
-caN5IQ7dYo,https://youtu.be/-caN5IQ7dYo,Richard Sherman vs. Ryan Fitzpatrick | Hot Ones Versus,First We Feast,2024-11-19T18:00:00Z,339146,Tom Brady,1
RkJxsS-IZBI,https://youtu.be/RkJxsS-IZBI,Jimmy Fallon takes on the wings of death 💀,First We Feast,2024-10-31T15:00:29Z,1083643,Jimmy Fallon,1
VKFAlc91BaI,https://youtu.be/VKFAlc91BaI,Get ready for Jimmy Fallon on Hot Ones 😂,First We Feast,2024-10-30T19:00:19Z,194898,Jimmy Fallon,1
2DTlbSDyayo,https://youtu.be/2DTlbSDyayo,Ariana Grande is built different 😂,First We Feast,2024-09-03T18:00:01Z,240558,Ariana Grande,1
_Z_ueaIidfU,https://youtu.be/_Z_ueaIidfU,Behind the scenes of Ariana Grande on Hot Ones 👀,First We Feast,2024-08-22T23:01:06Z,1944073,Ariana Grande,1
eLnvw0_agGs,https://youtu.be/eLnvw0_agGs,Ariana Grande's reaction to every wing on Hot Ones 🔥,First We Feast,2024-08-09T18:00:22Z,13814822,Ariana Grande,1
3gXhpXvg6yc,https://youtu.be/3gXhpXvg6yc,Ryan Reynolds NEEDED to confess this 😂,First We Feast,2024-08-08T16:45:00Z,1333541,Ryan Reynolds,1
IPAke2nPKDU,https://youtu.be/IPAke2nPKDU,Ariana Grande Hits a High Note While Eating Spicy Wings | Hot Ones,First We Feast,2024-08-08T15:00:28Z,9866712,Ariana Grande,1
