video_id,url,title,channel_name,published_at,view_count,persons_found,total_persons
dyXScuEoGrE,https://youtu.be/dyXScuEoGrE,Stormy Zings Trump From Witness Stand | Mar-a-Lago ComicCon | Breaking Up Paramount | Brain Worms,The Late Show with Stephen Colbert,2024-05-10T03:50:00Z,2347188,Stormy Daniels,1
zxJuDUa1I28,https://youtu.be/zxJuDUa1I28,“I Don’t Think My Views Of Donald Trump Are A Secret” - Jen Psaki,The Late Show with Stephen Colbert,2024-05-09T07:35:01Z,374829,Donald Trump,1
xldi5wIhKRw,https://youtu.be/xldi5wIhKRw,Porn Hub’s New Legal Series,The Late Show with Stephen Colbert,2024-05-08T02:57:59Z,226237,Stormy Daniels,1
mLculNTxrdQ,https://youtu.be/mLculNTxrdQ,"""We're Going To Meet The Queen"" - How Ethan Hawke Ended Up In Taylor Swift's New Music Video",The Late Show with Stephen Colbert,2024-05-07T07:35:00Z,204260,Taylor Swift,1
toWAYFObbCQ,https://youtu.be/toWAYFObbCQ,Trump Humiliates VP Hopefuls | The Strange Lies In Kristi Noem's Book | This Network Is For Sale,The Late Show with Stephen Colbert,2024-05-07T03:50:00Z,1951447,Donald Trump,1
3WnpXwl1Sng,https://youtu.be/3WnpXwl1Sng,“Both Sides Are Framing It Incorrectly” - Laura Coates On Trump’s Hush Money Trial,The Late Show with Stephen Colbert,2024-05-03T07:35:00Z,181068,Donald Trump,1
Bukp16GWciY,https://youtu.be/Bukp16GWciY,Will Reclassifying Weed Help Biden? | How Trump’s Lawyers Keep Him Awake | Angry Weatherman Fired,The Late Show with Stephen Colbert,2024-05-02T05:39:47Z,1533376,Donald Trump,1
ttrUOjkYBUQ,https://youtu.be/ttrUOjkYBUQ,Trump's Aggressive New Attorney,The Late Show with Stephen Colbert,2024-05-01T03:00:16Z,322227,Donald Trump,1
mMrtVyE3NXs,https://youtu.be/mMrtVyE3NXs,Sorry Mike Johnson,The Late Show with Stephen Colbert,2024-04-18T02:27:14Z,220992,Mike Johnson,1
Qajv6wZ3-Xg,https://youtu.be/Qajv6wZ3-Xg,Seeking 12 Impartial New Yorkers | Trump Asks For Wednesdays Off | A Tiny MAGA Mob Assembles,The Late Show with Stephen Colbert,2024-04-17T03:50:00Z,1896861,Donald Trump,1
dhhTHQWXwso,https://youtu.be/dhhTHQWXwso,How Donald Trump Selects His Jurors,The Late Show with Stephen Colbert,2024-04-16T02:27:41Z,162015,Donald Trump,1
ADgYITQ8dZM,https://youtu.be/ADgYITQ8dZM,Can Trump Get A Fair Trial In New York? | Tracking Truth Social’s Share Price | Data-Hungry AI,The Late Show with Stephen Colbert,2024-04-10T03:50:00Z,1951650,Donald Trump,1
54pmrsCGt4o,https://youtu.be/54pmrsCGt4o,Meanwhile... Paltrow Loves Spanx | Costco Ozempic | Coin Flip Math | Star Wars Blue Milk,The Late Show with Stephen Colbert,2024-04-09T07:35:00Z,943713,Gwyneth Paltrow,1
-oPQwqLHLL0,https://youtu.be/-oPQwqLHLL0,"Taylor Swift, Dick Wolf Join The Billionaire Club | Trump Calls Migrants “Animals” | Eclipse Mania",The Late Show with Stephen Colbert,2024-04-04T03:50:00Z,1777058,Taylor Swift,1
_AH5w4ghNj4,https://youtu.be/_AH5w4ghNj4,Donald Trump’s New Border Plan,The Late Show with Stephen Colbert,2024-04-04T02:19:01Z,201511,Donald Trump,1
KT_vhWkRzOo,https://youtu.be/KT_vhWkRzOo,A Good Character Actor “Disappears Into The Role” - Tim Blake Nelson,The Late Show with Stephen Colbert,2024-04-03T07:35:00Z,105263,Brad Pitt,1
kjfp1kUDWDc,https://youtu.be/kjfp1kUDWDc,Hankey Posts Trump’s Bond | Truth Social Stock Woes | Lara Trump vs. Beyoncé | Cicadas Are Coming!,The Late Show with Stephen Colbert,2024-04-03T03:50:00Z,2067095,Donald Trump,1
im0EMDz7kXQ,https://youtu.be/im0EMDz7kXQ,Judge Judy vs. Donald Trump,The Late Show with Stephen Colbert,2024-04-03T02:10:17Z,604757,Donald Trump,1
lORbxD2K74w,https://youtu.be/lORbxD2K74w,Shohei Ohtani Breaks His Silence,The Late Show with Stephen Colbert,2024-03-27T02:43:24Z,103559,Shohei Ohtani,1
NztHHHJSRxI,https://youtu.be/NztHHHJSRxI,"Justin Thomas On The Intensity Of The Ryder Cup, And Winning Big With Michael Jordan",The Late Show with Stephen Colbert,2024-03-26T07:35:00Z,105522,Michael Jordan,1
eIK4UTTmEYA,https://youtu.be/eIK4UTTmEYA,Meanwhile… Dolly x Beyoncé | Titanic II May Set Sail | Feeding Baby Foxes | Is LaGuardia The Best?,The Late Show with Stephen Colbert,2024-03-15T07:35:00Z,751491,Dolly Parton,1
GrzfPFZtAI4,https://youtu.be/GrzfPFZtAI4,"Paul Rudd Was Knocked Out By The Support, Love, And Positivity Of Taylor Swift’s “Eras” Tour",The Late Show with Stephen Colbert,2024-03-14T07:35:00Z,356362,Taylor Swift,1
